# OpenTelemetry Metrics report: .csv, 4 fields # <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.totalMisses,1757826455602000000,1757826515730000000,48
FileNameCache.queries,1757826455602000000,1757826515730000000,858
FileNameCache.fastMisses,1757826455602000000,1757826515730000000,48
AWTEventQueue.dispatchTimeAvgNs,1757826455602000000,1757826515730000000,1.2116995119713262E8
FlushQueue.tasksExecuted,1757826455602000000,1757826515730000000,163
FlushQueue.queueSizeAvg,1757826455602000000,1757826515730000000,3.3006134969325154
FlushQueue.waitingTime90PNs,1757826455602000000,1757826515730000000,12079595519
AWTEventQueue.dispatchTime90PNs,1757826455602000000,1757826515730000000,9240575
FlushQueue.queueSize90P,1757826455602000000,1757826515730000000,15
FlushQueue.waitingTimeMaxNs,1757826455602000000,1757826515730000000,31004295167
FlushQueue.executionTimeAvgNs,1757826455602000000,1757826515730000000,4.164542910429448E7
FlushQueue.queueSizeMax,1757826455602000000,1757826515730000000,20
FlushQueue.executionTime90PNs,1757826455602000000,1757826515730000000,7274495
AWTEventQueue.dispatchTimeMaxNs,1757826455602000000,1757826515730000000,31406948351
AWTEventQueue.eventsDispatched,1757826455602000000,1757826515730000000,279
FlushQueue.executionTimeMaxNs,1757826455602000000,1757826515730000000,5939134463
FlushQueue.waitingTimeAvgNs,1757826455602000000,1757826515730000000,2.7746370828957057E9
StorageLockContext.competingThreads.90P,1757826455602000000,1757826515730000000,15
FilePageCache.capacityInBytes,1757826455602000000,1757826515730000000,524288000
FilePageCache.disposedBuffers,1757826455602000000,1757826515730000000,5
DirectByteBufferAllocator.reclaimed,1757826455602000000,1757826515730000000,0
DirectByteBufferAllocator.hits,1757826455602000000,1757826515730000000,0
FilePageCache.maxCacheSizeInBytes,1757826455602000000,1757826515730000000,245415936
FilePageCache.maxRegisteredFiles,1757826455602000000,1757826515730000000,838
StorageLockContext.competingThreads.avg,1757826455602000000,1757826515730000000,4.488095238095238
DirectByteBufferAllocator.disposed,1757826455602000000,1757826515730000000,5
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826455602000000,1757826515730000000,0
FilePageCache.pageLoads,1757826455602000000,1757826515730000000,236
FilePageCache.pageFastCacheHits,1757826455602000000,1757826515730000000,16474
FilePageCache.uncachedFileAccess,1757826455602000000,1757826515730000000,273
FilePageCache.totalPageDisposalsUs,1757826455602000000,1757826515730000000,5364
StorageLockContext.competingThreads.max,1757826455602000000,1757826515730000000,15
FilePageCache.totalPageLoadsUs,1757826455602000000,1757826515730000000,1653788
DirectByteBufferAllocator.misses,1757826455602000000,1757826515730000000,236
FilePageCache.pageLoadsAboveSizeThreshold,1757826455602000000,1757826515730000000,0
FilePageCache.pageHits,1757826455602000000,1757826515730000000,0
FileNameCache.totalMisses,1757826515730000000,1757826575733000000,37716
FileNameCache.queries,1757826515730000000,1757826575733000000,722330
FileNameCache.fastMisses,1757826515730000000,1757826575733000000,68679
AWTEventQueue.dispatchTimeAvgNs,1757826515730000000,1757826575733000000,1.145796822748815E7
FlushQueue.tasksExecuted,1757826515730000000,1757826575733000000,419
FlushQueue.queueSizeAvg,1757826515730000000,1757826575733000000,19.758949880668258
FlushQueue.waitingTime90PNs,1757826515730000000,1757826575733000000,5704253439
AWTEventQueue.dispatchTime90PNs,1757826515730000000,1757826575733000000,6914047
FlushQueue.queueSize90P,1757826515730000000,1757826575733000000,70
NonBlockingReadAction.finalizedExecutionTimeUs,1757826515730000000,1757826575733000000,6866482
FlushQueue.waitingTimeMaxNs,1757826515730000000,1757826575733000000,15233712127
NonBlockingReadAction.failedExecutionsCount,1757826515730000000,1757826575733000000,5
FlushQueue.executionTimeAvgNs,1757826515730000000,1757826575733000000,1.871833169451074E7
FlushQueue.queueSizeMax,1757826515730000000,1757826575733000000,101
FlushQueue.executionTime90PNs,1757826515730000000,1757826575733000000,6291455
AWTEventQueue.dispatchTimeMaxNs,1757826515730000000,1757826575733000000,12146704383
NonBlockingReadAction.finalizedExecutionsCount,1757826515730000000,1757826575733000000,17
NonBlockingReadAction.failedExecutionTimeUs,1757826515730000000,1757826575733000000,3205474
AWTEventQueue.eventsDispatched,1757826515730000000,1757826575733000000,2532
FlushQueue.executionTimeMaxNs,1757826515730000000,1757826575733000000,2600468479
FlushQueue.waitingTimeAvgNs,1757826515730000000,1757826575733000000,1.9831049933365154E9
StorageLockContext.competingThreads.90P,1757826515730000000,1757826575733000000,0
FilePageCache.capacityInBytes,1757826515730000000,1757826575733000000,524288000
FilePageCache.disposedBuffers,1757826515730000000,1757826575733000000,0
DirectByteBufferAllocator.reclaimed,1757826515730000000,1757826575733000000,0
DirectByteBufferAllocator.hits,1757826515730000000,1757826575733000000,0
FilePageCache.maxCacheSizeInBytes,1757826515730000000,1757826575733000000,250773504
FilePageCache.maxRegisteredFiles,1757826515730000000,1757826575733000000,846
StorageLockContext.competingThreads.avg,1757826515730000000,1757826575733000000,0.02586206896551724
DirectByteBufferAllocator.disposed,1757826515730000000,1757826575733000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826515730000000,1757826575733000000,0
FilePageCache.pageLoads,1757826515730000000,1757826575733000000,19
FilePageCache.pageFastCacheHits,1757826515730000000,1757826575733000000,304222
FilePageCache.uncachedFileAccess,1757826515730000000,1757826575733000000,4
FilePageCache.totalPageDisposalsUs,1757826515730000000,1757826575733000000,214
StorageLockContext.competingThreads.max,1757826515730000000,1757826575733000000,2
FilePageCache.totalPageLoadsUs,1757826515730000000,1757826575733000000,37159
DirectByteBufferAllocator.misses,1757826515730000000,1757826575733000000,19
FilePageCache.pageLoadsAboveSizeThreshold,1757826515730000000,1757826575733000000,0
FilePageCache.pageHits,1757826515730000000,1757826575733000000,8
FileNameCache.totalMisses,1757826575733000000,1757826635730000000,2259
FileNameCache.queries,1757826575733000000,1757826635730000000,84238
FileNameCache.fastMisses,1757826575733000000,1757826635730000000,4107
AWTEventQueue.dispatchTimeAvgNs,1757826575733000000,1757826635730000000,2.1049337372354794E7
FlushQueue.tasksExecuted,1757826575733000000,1757826635730000000,968
FlushQueue.queueSizeAvg,1757826575733000000,1757826635730000000,28.014462809917354
FlushQueue.waitingTime90PNs,1757826575733000000,1757826635730000000,15837691903
AWTEventQueue.dispatchTime90PNs,1757826575733000000,1757826635730000000,2359295
FlushQueue.queueSize90P,1757826575733000000,1757826635730000000,93
NonBlockingReadAction.finalizedExecutionTimeUs,1757826575733000000,1757826635730000000,7388673
FlushQueue.waitingTimeMaxNs,1757826575733000000,1757826635730000000,18790481919
NonBlockingReadAction.failedExecutionsCount,1757826575733000000,1757826635730000000,2
FlushQueue.executionTimeAvgNs,1757826575733000000,1757826635730000000,3.814823267768595E7
FlushQueue.queueSizeMax,1757826575733000000,1757826635730000000,166
FlushQueue.executionTime90PNs,1757826575733000000,1757826635730000000,1261567
AWTEventQueue.dispatchTimeMaxNs,1757826575733000000,1757826635730000000,14562623487
NonBlockingReadAction.finalizedExecutionsCount,1757826575733000000,1757826635730000000,99
NonBlockingReadAction.failedExecutionTimeUs,1757826575733000000,1757826635730000000,609082
AWTEventQueue.eventsDispatched,1757826575733000000,1757826635730000000,2221
FlushQueue.executionTimeMaxNs,1757826575733000000,1757826635730000000,14428405759
FlushQueue.waitingTimeAvgNs,1757826575733000000,1757826635730000000,2.6757657247768593E9
StorageLockContext.competingThreads.90P,1757826575733000000,1757826635730000000,0
FilePageCache.capacityInBytes,1757826575733000000,1757826635730000000,524288000
FilePageCache.disposedBuffers,1757826575733000000,1757826635730000000,0
DirectByteBufferAllocator.reclaimed,1757826575733000000,1757826635730000000,0
DirectByteBufferAllocator.hits,1757826575733000000,1757826635730000000,0
FilePageCache.maxCacheSizeInBytes,1757826575733000000,1757826635730000000,267608064
FilePageCache.maxRegisteredFiles,1757826575733000000,1757826635730000000,902
StorageLockContext.competingThreads.avg,1757826575733000000,1757826635730000000,0.036036036036036036
DirectByteBufferAllocator.disposed,1757826575733000000,1757826635730000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826575733000000,1757826635730000000,0
FilePageCache.pageLoads,1757826575733000000,1757826635730000000,23
FilePageCache.pageFastCacheHits,1757826575733000000,1757826635730000000,28931
FilePageCache.uncachedFileAccess,1757826575733000000,1757826635730000000,32
FilePageCache.totalPageDisposalsUs,1757826575733000000,1757826635730000000,243
StorageLockContext.competingThreads.max,1757826575733000000,1757826635730000000,1
FilePageCache.totalPageLoadsUs,1757826575733000000,1757826635730000000,136928
DirectByteBufferAllocator.misses,1757826575733000000,1757826635730000000,23
FilePageCache.pageLoadsAboveSizeThreshold,1757826575733000000,1757826635730000000,0
FilePageCache.pageHits,1757826575733000000,1757826635730000000,8
FileNameCache.totalMisses,1757826635730000000,1757826695724000000,2295
FileNameCache.queries,1757826635730000000,1757826695724000000,217558
FileNameCache.fastMisses,1757826635730000000,1757826695724000000,5305
AWTEventQueue.dispatchTimeAvgNs,1757826635730000000,1757826695724000000,3022399.3999210424
FlushQueue.tasksExecuted,1757826635730000000,1757826695724000000,2411
FlushQueue.queueSizeAvg,1757826635730000000,1757826695724000000,7.221899626710909
FlushQueue.waitingTime90PNs,1757826635730000000,1757826695724000000,13434879
AWTEventQueue.dispatchTime90PNs,1757826635730000000,1757826695724000000,3571711
FlushQueue.queueSize90P,1757826635730000000,1757826695724000000,19
NonBlockingReadAction.finalizedExecutionTimeUs,1757826635730000000,1757826695724000000,12128515
FlushQueue.waitingTimeMaxNs,1757826635730000000,1757826695724000000,4731174911
NonBlockingReadAction.failedExecutionsCount,1757826635730000000,1757826695724000000,0
FlushQueue.executionTimeAvgNs,1757826635730000000,1757826695724000000,1610663.291995023
FlushQueue.queueSizeMax,1757826635730000000,1757826695724000000,157
FlushQueue.executionTime90PNs,1757826635730000000,1757826695724000000,481279
AWTEventQueue.dispatchTimeMaxNs,1757826635730000000,1757826695724000000,4731174911
NonBlockingReadAction.finalizedExecutionsCount,1757826635730000000,1757826695724000000,484
NonBlockingReadAction.failedExecutionTimeUs,1757826635730000000,1757826695724000000,0
AWTEventQueue.eventsDispatched,1757826635730000000,1757826695724000000,5066
FlushQueue.executionTimeMaxNs,1757826635730000000,1757826695724000000,2734686207
FlushQueue.waitingTimeAvgNs,1757826635730000000,1757826695724000000,4.817246519452509E7
StorageLockContext.competingThreads.90P,1757826635730000000,1757826695724000000,0
FilePageCache.capacityInBytes,1757826635730000000,1757826695724000000,524288000
FilePageCache.disposedBuffers,1757826635730000000,1757826695724000000,0
DirectByteBufferAllocator.reclaimed,1757826635730000000,1757826695724000000,0
DirectByteBufferAllocator.hits,1757826635730000000,1757826695724000000,0
FilePageCache.maxCacheSizeInBytes,1757826635730000000,1757826695724000000,269836288
FilePageCache.maxRegisteredFiles,1757826635730000000,1757826695724000000,902
StorageLockContext.competingThreads.avg,1757826635730000000,1757826695724000000,0.0
DirectByteBufferAllocator.disposed,1757826635730000000,1757826695724000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826635730000000,1757826695724000000,0
FilePageCache.pageLoads,1757826635730000000,1757826695724000000,18
FilePageCache.pageFastCacheHits,1757826635730000000,1757826695724000000,115342
FilePageCache.uncachedFileAccess,1757826635730000000,1757826695724000000,6
FilePageCache.totalPageDisposalsUs,1757826635730000000,1757826695724000000,228
StorageLockContext.competingThreads.max,1757826635730000000,1757826695724000000,0
FilePageCache.totalPageLoadsUs,1757826635730000000,1757826695724000000,14912
DirectByteBufferAllocator.misses,1757826635730000000,1757826695724000000,18
FilePageCache.pageLoadsAboveSizeThreshold,1757826635730000000,1757826695724000000,0
FilePageCache.pageHits,1757826635730000000,1757826695724000000,69
FileNameCache.totalMisses,1757826695724000000,1757826755724000000,1177
FileNameCache.queries,1757826695724000000,1757826755724000000,131058
FileNameCache.fastMisses,1757826695724000000,1757826755724000000,2216
AWTEventQueue.dispatchTimeAvgNs,1757826695724000000,1757826755724000000,645152.0477306627
FlushQueue.tasksExecuted,1757826695724000000,1757826755724000000,1418
FlushQueue.queueSizeAvg,1757826695724000000,1757826755724000000,0.8504936530324401
FlushQueue.waitingTime90PNs,1757826695724000000,1757826755724000000,1089535
AWTEventQueue.dispatchTime90PNs,1757826695724000000,1757826755724000000,622591
FlushQueue.queueSize90P,1757826695724000000,1757826755724000000,1
NonBlockingReadAction.finalizedExecutionTimeUs,1757826695724000000,1757826755724000000,21332
FlushQueue.waitingTimeMaxNs,1757826695724000000,1757826755724000000,704643071
NonBlockingReadAction.failedExecutionsCount,1757826695724000000,1757826755724000000,0
FlushQueue.executionTimeAvgNs,1757826695724000000,1757826755724000000,258855.98871650212
FlushQueue.queueSizeMax,1757826695724000000,1757826755724000000,31
FlushQueue.executionTime90PNs,1757826695724000000,1757826755724000000,317439
AWTEventQueue.dispatchTimeMaxNs,1757826695724000000,1757826755724000000,115343359
NonBlockingReadAction.finalizedExecutionsCount,1757826695724000000,1757826755724000000,28
NonBlockingReadAction.failedExecutionTimeUs,1757826695724000000,1757826755724000000,0
AWTEventQueue.eventsDispatched,1757826695724000000,1757826755724000000,4693
FlushQueue.executionTimeMaxNs,1757826695724000000,1757826755724000000,85458943
FlushQueue.waitingTimeAvgNs,1757826695724000000,1757826755724000000,3859850.820874471
StorageLockContext.competingThreads.90P,1757826695724000000,1757826755724000000,0
FilePageCache.capacityInBytes,1757826695724000000,1757826755724000000,524288000
FilePageCache.disposedBuffers,1757826695724000000,1757826755724000000,0
DirectByteBufferAllocator.reclaimed,1757826695724000000,1757826755724000000,0
DirectByteBufferAllocator.hits,1757826695724000000,1757826755724000000,0
FilePageCache.maxCacheSizeInBytes,1757826695724000000,1757826755724000000,270974976
FilePageCache.maxRegisteredFiles,1757826695724000000,1757826755724000000,902
StorageLockContext.competingThreads.avg,1757826695724000000,1757826755724000000,0.0
DirectByteBufferAllocator.disposed,1757826695724000000,1757826755724000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826695724000000,1757826755724000000,0
FilePageCache.pageLoads,1757826695724000000,1757826755724000000,12
FilePageCache.pageFastCacheHits,1757826695724000000,1757826755724000000,85768
FilePageCache.uncachedFileAccess,1757826695724000000,1757826755724000000,7
FilePageCache.totalPageDisposalsUs,1757826695724000000,1757826755724000000,71
StorageLockContext.competingThreads.max,1757826695724000000,1757826755724000000,0
FilePageCache.totalPageLoadsUs,1757826695724000000,1757826755724000000,8742
DirectByteBufferAllocator.misses,1757826695724000000,1757826755724000000,12
FilePageCache.pageLoadsAboveSizeThreshold,1757826695724000000,1757826755724000000,0
FilePageCache.pageHits,1757826695724000000,1757826755724000000,125
FileNameCache.totalMisses,1757826755724000000,1757826815723000000,13977
FileNameCache.queries,1757826755724000000,1757826815723000000,615358
FileNameCache.fastMisses,1757826755724000000,1757826815723000000,77790
AWTEventQueue.dispatchTimeAvgNs,1757826755724000000,1757826815723000000,795259.6791534391
FlushQueue.tasksExecuted,1757826755724000000,1757826815723000000,1513
FlushQueue.queueSizeAvg,1757826755724000000,1757826815723000000,0.10112359550561797
FlushQueue.waitingTime90PNs,1757826755724000000,1757826815723000000,905215
AWTEventQueue.dispatchTime90PNs,1757826755724000000,1757826815723000000,581631
FlushQueue.queueSize90P,1757826755724000000,1757826815723000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757826755724000000,1757826815723000000,63985400
FlushQueue.waitingTimeMaxNs,1757826755724000000,1757826815723000000,1291845631
NonBlockingReadAction.failedExecutionsCount,1757826755724000000,1757826815723000000,0
FlushQueue.executionTimeAvgNs,1757826755724000000,1757826815723000000,350575.1169861203
FlushQueue.queueSizeMax,1757826755724000000,1757826815723000000,7
FlushQueue.executionTime90PNs,1757826755724000000,1757826815723000000,319487
AWTEventQueue.dispatchTimeMaxNs,1757826755724000000,1757826815723000000,1249902591
NonBlockingReadAction.finalizedExecutionsCount,1757826755724000000,1757826815723000000,124
NonBlockingReadAction.failedExecutionTimeUs,1757826755724000000,1757826815723000000,0
AWTEventQueue.eventsDispatched,1757826755724000000,1757826815723000000,4725
FlushQueue.executionTimeMaxNs,1757826755724000000,1757826815723000000,55312383
FlushQueue.waitingTimeAvgNs,1757826755724000000,1757826815723000000,6780889.480502313
StorageLockContext.competingThreads.90P,1757826755724000000,1757826815723000000,1
FilePageCache.capacityInBytes,1757826755724000000,1757826815723000000,524288000
FilePageCache.disposedBuffers,1757826755724000000,1757826815723000000,0
DirectByteBufferAllocator.reclaimed,1757826755724000000,1757826815723000000,0
DirectByteBufferAllocator.hits,1757826755724000000,1757826815723000000,0
FilePageCache.maxCacheSizeInBytes,1757826755724000000,1757826815723000000,295165952
FilePageCache.maxRegisteredFiles,1757826755724000000,1757826815723000000,938
StorageLockContext.competingThreads.avg,1757826755724000000,1757826815723000000,0.1694915254237288
DirectByteBufferAllocator.disposed,1757826755724000000,1757826815723000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1757826755724000000,1757826815723000000,0
FilePageCache.pageLoads,1757826755724000000,1757826815723000000,32
FilePageCache.pageFastCacheHits,1757826755724000000,1757826815723000000,211426
FilePageCache.uncachedFileAccess,1757826755724000000,1757826815723000000,28
FilePageCache.totalPageDisposalsUs,1757826755724000000,1757826815723000000,260
StorageLockContext.competingThreads.max,1757826755724000000,1757826815723000000,3
FilePageCache.totalPageLoadsUs,1757826755724000000,1757826815723000000,269263
DirectByteBufferAllocator.misses,1757826755724000000,1757826815723000000,32
FilePageCache.pageLoadsAboveSizeThreshold,1757826755724000000,1757826815723000000,0
FilePageCache.pageHits,1757826755724000000,1757826815723000000,44
FileNameCache.totalMisses,1757826815723000000,1757826875721000000,0
FileNameCache.queries,1757826815723000000,1757826875721000000,628858
FileNameCache.fastMisses,1757826815723000000,1757826875721000000,7105
AWTEventQueue.dispatchTimeAvgNs,1757826815723000000,1757826875721000000,429482.0578653051
FlushQueue.tasksExecuted,1757826815723000000,1757826875721000000,2708
FlushQueue.queueSizeAvg,1757826815723000000,1757826875721000000,0.04874446085672083
FlushQueue.waitingTime90PNs,1757826815723000000,1757826875721000000,419839
AWTEventQueue.dispatchTime90PNs,1757826815723000000,1757826875721000000,819199
FlushQueue.queueSize90P,1757826815723000000,1757826875721000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1757826815723000000,1757826875721000000,82022941
FlushQueue.waitingTimeMaxNs,1757826815723000000,1757826875721000000,228589567
NonBlockingReadAction.failedExecutionsCount,1757826815723000000,1757826875721000000,0
FlushQueue.executionTimeAvgNs,1757826815723000000,1757826875721000000,185911.78434268833
FlushQueue.queueSizeMax,1757826815723000000,1757826875721000000,3
FlushQueue.executionTime90PNs,1757826815723000000,1757826875721000000,366591
AWTEventQueue.dispatchTimeMaxNs,1757826815723000000,1757826875721000000,125304831
NonBlockingReadAction.finalizedExecutionsCount,1757826815723000000,1757826875721000000,1977
NonBlockingReadAction.failedExecutionTimeUs,1757826815723000000,1757826875721000000,0
AWTEventQueue.eventsDispatched,1757826815723000000,1757826875721000000,8226
FlushQueue.executionTimeMaxNs,1757826815723000000,1757826875721000000,46661631
FlushQueue.waitingTimeAvgNs,1757826815723000000,1757826875721000000,821720.3279172821
